title,recipe_link,img_link,ingredients,yield,nutrients,region,meal_type,subregion,total_calories,total_protein,total_fat,total_carb
Cinnamon Babka,https://www.allrecipes.com/recipe/8494689/cinnamon-babka/,https://www.allrecipes.com/thmb/_9ZurH4yoqHxqNGbA67znw6Ow2w=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/cinnamon-babka-ddmfs-3x4-0305-1054843e45e04310b5ac569f3e31ab5e.jpg,"['3 cups all-purpose flour', '1 (.25 ounce) package active dry yeast', '0.25 cup granulated sugar', '1.25 teaspoons kosher salt', '0.25 teaspoon ground cinnamon', '1 large egg', '0.5 cup warm water (105 degrees F to 115 degrees F)', '5 tablespoons unsalted butter, at room temperature', '1.5 teaspoons vanilla extract', 'cooking spray', '0.5 cup firmly packed light brown sugar', '0.25 cup all-purpose flour', '4 teaspoons ground cinnamon', '0.25 cup unsalted butter, melted and cooled', '1 large egg yolk', '1 tablespoon tap water', '2 tablespoons all-purpose flour', '1 tablespoon firmly packed light brown sugar', '0.5 teaspoon ground cinnamon', '0.125 teaspoon kosher salt', '2 tablespoons cold unsalted butter']",12 servings,"{'calories': '276 kcal', 'carbohydrateContent': '38 g', 'cholesterolContent': '61 mg', 'fiberContent': '2 g', 'proteinContent': '5 g', 'saturatedFatContent': '7 g', 'sodiumContent': '229 mg', 'fatContent': '12 g', 'unsaturatedFatContent': '0 g'}",european,,eastern_european,3601.46,75.1,147.89,499.11
Cinnamon Bread,https://www.allrecipes.com/recipe/6934/cinnamon-bread-i/,https://www.allrecipes.com/thmb/spFsKjFzswSUn7MzAZbH3pESTug=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4548967-b203d3d98d7d4941899679429e3bb672.jpg,"['2 cups all-purpose flour', '1 cup white sugar', '1 cup buttermilk', '2 large eggs', '0.25 cup vegetable oil', '2 teaspoons vanilla extract', '2 teaspoons baking powder', '1.5 teaspoons ground cinnamon', '1 teaspoon salt', '0.5 teaspoon baking soda', '2 tablespoons white sugar', '2 teaspoons margarine', '1 teaspoon ground cinnamon']",12 servings,"{'calories': '218 kcal', 'carbohydrateContent': '36 g', 'cholesterolContent': '32 mg', 'fiberContent': '1 g', 'proteinContent': '4 g', 'saturatedFatContent': '1 g', 'sodiumContent': '369 mg', 'sugarContent': '20 g', 'fatContent': '6 g', 'unsaturatedFatContent': '0 g'}",usa,bread,state_md,2617.4,46.79,76.35,437.24
Cinnamon Hazelnut Biscotti,https://www.allrecipes.com/recipe/11525/cinnamon-hazelnut-biscotti/,https://www.allrecipes.com/thmb/ihACpH4cKmkIU59QI8WUrQRFJe0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/114892-a9a476e518c4430daa9fb77ae538d4fd.jpg,"['0.75 cup butter', '1 cup white sugar', '2 large eggs', '1.5 teaspoons vanilla extract', '2.5 cups all-purpose flour', '1 teaspoon ground cinnamon', '0.75 teaspoon baking powder', '0.5 teaspoon salt', '1 cup hazelnuts']",30 servings,"{'calories': '138 kcal', 'carbohydrateContent': '16 g', 'cholesterolContent': '25 mg', 'fiberContent': '1 g', 'proteinContent': '2 g', 'saturatedFatContent': '3 g', 'sodiumContent': '89 mg', 'sugarContent': '7 g', 'fatContent': '8 g', 'unsaturatedFatContent': '0 g'}",european,dessert,italian,4109.47,65.18,228.69,465.12
Cinnamon Ice Cream,https://www.allrecipes.com/recipe/48036/cinnamon-ice-cream/,https://www.allrecipes.com/thmb/7lt3zUH5PPWCSHv_v_Skf_KhkB0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2679-84bd4cf5a51745efbd0c13a896674d51.jpg,"['1 cup white sugar', '1.5 cups half-and-half cream', '2 eggs, beaten', '1 cup heavy cream', '1 teaspoon vanilla extract', '2 teaspoons ground cinnamon']",8 servings,"{'calories': '279 kcal', 'carbohydrateContent': '28 g', 'cholesterolContent': '104 mg', 'fiberContent': '0 g', 'proteinContent': '4 g', 'saturatedFatContent': '11 g', 'sodiumContent': '48 mg', 'sugarContent': '25 g', 'fatContent': '18 g', 'unsaturatedFatContent': '0 g'}",usa,,state_mi,2197.88,30.89,133.16,229.1
Cinnamon Noodle Kugel,https://www.allrecipes.com/recipe/220950/cinnamon-noodle-kugel/,https://www.allrecipes.com/thmb/WOIB0H_mk4F0PVhfh5ngIFnydUg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2601354-88051d7a0d11492ca608c3fa9e82e81f.jpg,"['1 (12 ounce) package wide egg noodles', '6 eggs, beaten', '1 (16 ounce) package small curd cottage cheese', '2 cups whole milk', '1 cup sour cream', '1 cup white sugar', '6 tablespoons butter, melted', '1 (4 ounce) package cream cheese, softened', '1 tablespoon vanilla extract', '1 teaspoon salt', '0.33333334326744 cup white sugar', '0.25 cup brown sugar', '1 teaspoon ground cinnamon']",16 servings,"{'calories': '328 kcal', 'carbohydrateContent': '38 g', 'cholesterolContent': '120 mg', 'fiberContent': '1 g', 'proteinContent': '11 g', 'saturatedFatContent': '8 g', 'sodiumContent': '362 mg', 'sugarContent': '22 g', 'fatContent': '15 g', 'unsaturatedFatContent': '0 g'}",usa,side,jewish,4081.11,97.98,212.48,451.52
Cinnamon Raisin Bread I,https://www.allrecipes.com/recipe/6779/cinnamon-raisin-bread-i/,https://www.allrecipes.com/thmb/5XG2RIY62HLm6VDElCy4MhI-0h0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5053005-cinnamon-raisin-bread-i-Thomas-F.-Hallmark-1x1-1-b858d1734db34ea2b5f1b42bf539cc2a.jpg,"['1.5 cups milk', '1 cup warm water (110 degrees F/45 degrees C)', '2 (.25 ounce) packages active dry yeast', '3 eggs', '0.5 cup white sugar', '1 teaspoon salt', '0.5 cup margarine, softened', '1 cup raisins', '8 cups all-purpose flour', '2 tablespoons milk', '0.75 cup white sugar', '2 tablespoons ground cinnamon', '2 tablespoons butter, melted']",36 servings,"{'calories': '182 kcal', 'carbohydrateContent': '32 g', 'cholesterolContent': '18 mg', 'fiberContent': '1 g', 'proteinContent': '4 g', 'saturatedFatContent': '1 g', 'sodiumContent': '115 mg', 'sugarContent': '10 g', 'fatContent': '4 g', 'unsaturatedFatContent': '0 g'}",usa,bread,jewish,15839.21,1302.08,362.2,2353.15
Cinnamon Roll Peach Cobbler,https://www.allrecipes.com/recipe/274336/cinnamon-roll-peach-cobbler/,https://www.allrecipes.com/thmb/awBU9lNst_E0dBf_D5NqCUM7ZbY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6743274-285a90c258df41a6b13ec0086241e32c.jpg,"['0.5 cup water', '0.5 cup butter, divided', '0.25 cup white sugar', '1 teaspoon lemon juice', '1 pinch salt', '6 cups fresh peach slices', '1 (12.4 ounce) package refrigerated cinnamon roll dough with cream cheese frosting']",12 servings,"{'calories': '198 kcal', 'carbohydrateContent': '23 g', 'cholesterolContent': '20 mg', 'fiberContent': '1 g', 'proteinContent': '2 g', 'saturatedFatContent': '6 g', 'sodiumContent': '294 mg', 'sugarContent': '8 g', 'fatContent': '11 g', 'unsaturatedFatContent': '0 g'}",usa,dessert,southern,2814.92,20.04,168.3,324.76
Cinnamon Rolls,https://www.allrecipes.com/recipe/24556/cinnamon-rolls-iii/,https://www.allrecipes.com/thmb/yo4LW_g-5Q3oh6N3CVi7bmkkDpc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4459950-672a102507ad4bd39240288e64413f34.jpg,"['1 cup warm milk', '0.25 cup water at room temperature', '0.25 cup unsalted butter, melted', '1 large egg, room temperature', '4 cups bread flour', '0.5 (3.4 ounce) package instant vanilla pudding mix', '1 tablespoon white sugar', '0.5 teaspoon salt', '1 (.25 ounce) package active dry yeast', '1 cup brown sugar', '0.75 cup chopped pecans', '4 teaspoons ground cinnamon', '0.5 cup unsalted butter, softened', ""1 cup confectioners' sugar"", '0.25 cup unsalted butter, softened', '0.5 (8 ounce) package cream cheese, softened', '1.5 teaspoons milk', '0.5 teaspoon vanilla extract']",16 servings,"{'calories': '372 kcal', 'carbohydrateContent': '45 g', 'cholesterolContent': '51 mg', 'fiberContent': '2 g', 'proteinContent': '6 g', 'saturatedFatContent': '10 g', 'sodiumContent': '198 mg', 'sugarContent': '19 g', 'fatContent': '19 g', 'unsaturatedFatContent': '0 g'}",usa,bread,jewish,6498.82,111.58,304.34,854.9
Cinnamon Sweet Potato Chips,https://www.allrecipes.com/recipe/142776/cinnamon-sweet-potato-chips/,https://www.allrecipes.com/thmb/qqMH7dnGilhSllMBSA_SLL5mwEw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/746588-6ef267cb2ea3472c97a8c0696f171f4f.jpg,"['2 sweet potatoes, peeled and thinly sliced', '1 tablespoon melted butter', '0.5 teaspoon salt', '2 teaspoons brown sugar', '0.5 teaspoon ground cinnamon']",4 servings,"{'calories': '157 kcal', 'carbohydrateContent': '31 g', 'cholesterolContent': '8 mg', 'fiberContent': '4 g', 'proteinContent': '2 g', 'saturatedFatContent': '2 g', 'sodiumContent': '390 mg', 'sugarContent': '8 g', 'fatContent': '3 g', 'unsaturatedFatContent': '0 g'}",usa,appetizer,southern,338.15,4.76,11.87,55.5
Cinnamon-Accented French Toast,https://www.allrecipes.com/recipe/222916/cinnamon-accented-french-toast/,https://www.allrecipes.com/thmb/9cOa4DNn29P1rM7oNOrcaHjZVN4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2232840-cinnamon-accented-french-toast-Gina-Thiriot-4x3-1-b55614551731406a860fb065d83fd3a7.jpg,"['3 eggs, beaten', '2 teaspoons white sugar', '1 teaspoon milk', '1 teaspoon ground cinnamon', '0.25 teaspoon salt', '6 slices bread']",6 servings,"{'calories': '109 kcal', 'carbohydrateContent': '15 g', 'cholesterolContent': '93 mg', 'fiberContent': '1 g', 'proteinContent': '5 g', 'saturatedFatContent': '1 g', 'sodiumContent': '302 mg', 'sugarContent': '3 g', 'fatContent': '3 g', 'unsaturatedFatContent': '0 g'}",european,main,french,751.04,35.6,20.55,103.87
